UnixTime,p,v,h,filtered_v,filted_h
13209,94098.734,25.371515,-3.1786826,-0.23964375,-3.6168494
13261,94098.734,-0.0,-3.1786826,-0.6625724,-3.649978
13312,94098.8,-11.2799425,-3.7426796,-1.1983988,-3.7098978
13364,94098.8,-0.0,-3.7426796,-1.4944495,-3.7846203
13416,94098.84,-8.460617,-4.1657104,-1.6213477,-3.8656878
13467,94098.84,-0.0,-4.1657104,-1.9314121,-3.9622586
13519,94098.664,32.43368,-2.5440264,-2.072226,-4.06587
13571,94098.664,-0.0,-2.5440264,-1.8607657,-4.158908
13622,94098.62,8.461447,-2.1209538,-1.9030148,-4.254059
13674,94098.62,-0.0,-2.1209538,-2.0299034,-4.355554
13726,94098.35,47.93916,0.27600434,-1.3249636,-4.421802
13777,94098.32,5.638479,0.5579283,-0.9725761,-4.470431
13829,94098.27,8.458694,0.9808631,-0.9443719,-4.5176497
13881,94098.27,-0.0,0.9808631,-0.09855688,-4.5225773
13932,94098.27,-0.0,0.9808631,0.1410996,-4.5155225
13984,94098.27,-0.0,0.9808631,0.042444237,-4.5134
14036,94098.38,-19.736532,-0.005963538,0.3665203,-4.495074
14088,94098.445,-11.277366,-0.5698318,0.22556186,-4.483796
14139,94098.664,-39.46768,-2.543216,0.042295642,-4.481681
14191,94098.62,8.457847,-2.1203237,0.056406513,-4.478861
14243,94098.62,-0.0,-2.1203237,-0.028152548,-4.4802685
14294,94099.21,-107.14262,-7.4774547,-0.16935943,-4.488736
14346,94099.39,-32.421543,-9.098532,-0.5922059,-4.518347
14398,94099.555,-29.606237,-10.578844,-0.8882683,-4.5627604
14449,94099.61,-9.868561,-11.072272,-1.1278548,-4.619153
14501,94099.64,-5.6386356,-11.354203,-1.296975,-4.6840014
14553,94099.61,5.6383047,-11.0722885,-1.3815176,-4.7530775
14604,94099.81,-36.64185,-12.904382,-2.4525356,-4.8757043
14656,94099.81,-0.0,-12.904382,-2.3679771,-4.9941034
14708,94099.81,-0.0,-12.904382,-2.4525306,-5.1167297
14760,94099.92,-19.740557,-13.891409,-2.480849,-5.2407722
14811,94099.836,15.505383,-13.11614,-2.3257952,-5.357062
14863,94100.05,-38.054935,-15.0188875,-2.5654228,-5.485333
14915,94100.12,-12.682244,-15.652999,-2.4949667,-5.6100817
14966,94100.12,-0.0,-15.652999,-3.0445817,-5.7623105
15018,94100.3,-32.429558,-17.274477,-3.2702532,-5.925823
15070,94100.46,-29.60267,-18.75461,-3.4112756,-6.0963874
15121,94100.516,-9.863747,-19.247797,-3.185814,-6.255678
15173,94100.61,-16.911516,-20.093372,-3.777627,-6.444559
15225,94100.61,-0.0,-20.093372,-3.6226585,-6.6256924
15277,94100.43,32.42446,-18.47215,-3.2984138,-6.790613
15328,94100.695,-47.911392,-20.86772,-3.5097885,-6.966103
15380,94100.86,-29.598001,-22.34762,-3.9184685,-7.1620264
15432,94101.03,-31.001976,-23.89772,-4.3130255,-7.3776774
15483,94101.25,-39.47151,-25.871294,-5.271249,-7.64124
15535,94101.34,-16.915073,-26.717049,-5.1304593,-7.897763
15587,94101.25,16.910872,-25.871506,-5.0176926,-8.148648
15638,94101.25,-0.0,-25.871506,-4.9613466,-8.396715
